timestamp,latency_ms,jitter_ms,loss_pct,bandwidth_mbps,queue_drops,delta_tx_bytes,delta_rx_bytes,rssi_dbm,server_cpu_pct,server_ram_pct,congestion_state
1285,3.685,0.203,0.0,-1.0,0,0,0,-46,5.0,82.44,MEDIUM
1290,5.1,1.083,0.0,-1.0,0,0,0,-46,13.599999999999994,82.44,MEDIUM
1295,4.783,0.536,0.0,0.0,0,0,0,-46,9.5,82.49,MEDIUM
1300,4.998,0.693,0.0,-1.0,0,0,0,-46,9.5,82.6,MEDIUM
1305,4.737,0.239,0.0,-1.0,0,0,0,-46,13.599999999999994,82.75,MEDIUM
1310,3.875,0.597,0.0,-1.0,0,0,0,-46,9.099999999999994,82.96,MEDIUM
1315,4.635,0.357,0.0,-1.0,0,0,0,-46,9.5,82.96,MEDIUM
1320,5.458,0.735,0.0,0.0,0,0,0,-46,9.5,82.96,MEDIUM
1325,5.084,0.382,0.0,-1.0,0,0,0,-46,13.0,82.75,MEDIUM
1330,5.167,0.416,0.0,-1.0,0,0,0,-46,9.5,82.13,MEDIUM
1335,4.607,0.374,0.0,-1.0,0,0,0,-46,9.5,82.13,MEDIUM
1340,4.302,0.85,0.0,-1.0,0,0,0,-46,9.5,82.13,MEDIUM
1345,4.676,0.741,0.0,0.0,0,0,0,-46,9.5,82.13,MEDIUM
1350,4.943,0.614,0.0,-1.0,0,0,0,-46,9.5,82.23,MEDIUM
1355,4.014,0.241,0.0,-1.0,0,0,0,-46,9.5,82.23,MEDIUM
1360,4.212,0.835,0.0,-1.0,0,0,0,-46,9.5,82.28,MEDIUM
1365,5.48,1.214,0.0,-1.0,0,0,0,-46,10.0,81.66,MEDIUM
1370,4.169,0.561,0.0,0.0,0,0,0,-46,9.5,81.71,MEDIUM
1375,4.088,0.979,0.0,-1.0,0,0,0,-46,10.0,81.81,MEDIUM
1380,4.431,0.591,0.0,-1.0,0,0,0,-46,9.099999999999994,81.81,MEDIUM
1385,4.257,0.315,0.0,-1.0,0,0,0,-46,9.5,81.55,MEDIUM
1390,5.045,0.72,0.0,-1.0,0,0,0,-46,10.0,81.55,MEDIUM
1395,5.709,0.767,0.0,0.0,0,0,0,-46,14.299999999999997,81.55,MEDIUM
1400,4.512,0.568,0.0,-1.0,0,0,0,-46,14.299999999999997,81.55,MEDIUM
1405,4.668,0.496,0.0,-1.0,0,0,0,-46,9.5,81.55,MEDIUM
1410,4.817,0.855,0.0,-1.0,0,0,0,-46,13.599999999999994,81.71,MEDIUM
1415,4.129,0.343,0.0,-1.0,0,0,0,-46,10.0,81.76,MEDIUM
1420,4.55,0.508,0.0,0.0,0,0,0,-46,17.400000000000006,81.81,MEDIUM
1425,4.369,0.275,0.0,-1.0,0,0,0,-46,9.5,81.87,MEDIUM
1430,4.708,0.887,0.0,-1.0,0,0,0,-46,9.5,81.97,MEDIUM
1435,4.777,1.546,0.0,-1.0,0,0,0,-46,9.5,82.18,MEDIUM
1440,4.385,0.522,0.0,-1.0,0,0,0,-46,10.0,82.28,MEDIUM
1445,4.202,0.562,0.0,0.0,0,0,0,-46,10.0,82.49,MEDIUM
1450,4.648,0.672,0.0,-1.0,0,0,0,-46,14.299999999999997,82.49,MEDIUM
1455,4.476,0.329,0.0,-1.0,0,0,0,-46,13.599999999999994,82.65,MEDIUM
1460,4.678,0.219,0.0,-1.0,0,0,0,-46,9.5,82.75,MEDIUM
1465,3.928,0.171,0.0,-1.0,0,0,0,-46,13.0,82.86,MEDIUM
1470,3.745,0.205,0.0,0.0,0,0,0,-46,9.5,82.96,MEDIUM
1475,4.683,0.399,0.0,-1.0,0,0,0,-46,9.5,82.96,MEDIUM
1480,4.685,0.254,0.0,-1.0,0,0,0,-46,9.5,83.01,MEDIUM
1485,4.782,0.082,0.0,-1.0,0,0,0,-46,14.299999999999997,81.61,MEDIUM
1490,4.185,0.387,0.0,-1.0,0,0,0,-46,9.5,81.71,MEDIUM
1495,4.67,0.383,0.0,0.0,0,0,0,-46,5.0,81.76,MEDIUM
